"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Caron Butler","2002","MIA","10","10","UConn","14","881","28333","12430","4387","2007",".434",".348",".847","32.2","14.1","5.0","2.3","50.9",".086","-0.2","12.6"
"Jared Jeffries","2002","WAS","11","11","Indiana","11","629","13579","3003","2563","798",".426",".250",".583","21.6","4.8","4.1","1.3","13.1",".046","-2.4","-1.5"
"Melvin Ely","2002","LAC","12","12","Fresno State","9","375","6005","1992","1215","261",".460",".000",".625","16.0","5.3","3.2","0.7","4.0",".032","-4.0","-3.1"
"Marcus Haislip","2002","MIL","13","13","Tennessee","4","89","854","311","131","16",".437",".350",".659","9.6","3.5","1.5","0.2","0.5",".026","-4.7","-0.6"
"Fred Jones","2002","IND","14","14","Oregon","7","430","10299","3206","958","990",".411",".353",".809","24.0","7.5","2.2","2.3","16.5",".077","-1.0","2.6"
"Boštjan Nachbar","2002","HOU","15","15","","6","317","5628","2252","836","283",".406",".375",".784","17.8","7.1","2.6","0.9","8.7",".074","-1.6","0.6"
"Jiří Welsch","2002","PHI","16","16","","4","247","4596","1519","602","375",".403",".343",".752","18.6","6.1","2.4","1.5","5.7",".059","-1.9","0.1"
"Juan Dixon","2002","WAS","17","17","Maryland","7","436","8509","3678","816","775",".413",".341",".833","19.5","8.4","1.9","1.8","6.1",".034","-2.1","-0.3"
"Curtis Borchardt","2002","ORL","18","18","Stanford","2","83","1117","258","278","64",".421",".000",".742","13.5","3.1","3.3","0.8","1.0",".041","-3.8","-0.5"
"Ryan Humphrey","2002","UTA","19","19","Notre Dame","3","85","772","197","189","18",".344",".000",".539","9.1","2.3","2.2","0.2","-0.4","-.027","-8.1","-1.2"
"Kareem Rush","2002","TOR","20","20","Missouri","7","346","5956","2213","572","353",".400",".358",".703","17.2","6.4","1.7","1.0","1.7",".013","-3.2","-1.8"
"Qyntel Woods","2002","POR","21","21","Northeast Mississippi Community College","4","167","2060","691","385","105",".452",".357",".603","12.3","4.1","2.3","0.6","1.4",".032","-2.7","-0.4"
"Casey Jacobsen","2002","PHO","22","22","Stanford","4","287","5320","1488","516","304",".393",".352",".769","18.5","5.2","1.8","1.1","6.2",".056","-2.2","-0.3"
"Tayshaun Prince","2002","DET","23","23","Kentucky","14","1017","31576","11272","4332","2406",".455",".367",".756","31.0","11.1","4.3","2.4","63.1",".096","0.3","18.0"
"Nenad Krstić","2002","NJN","24","24","","7","419","10547","4210","2261","346",".494",".143",".730","25.2","10.0","5.4","0.8","21.5",".098","-2.6","-1.5"
"Frank Williams","2002","DEN","25","25","Illinois","3","86","952","253","77","166",".352",".300",".833","11.1","2.9","0.9","1.9","0.1",".003","-3.2","-0.3"
"John Salmons","2002","SAS","26","26","Miami (FL)","13","895","23672","8292","2603","2183",".431",".366",".799","26.4","9.3","2.9","2.4","33.9",".069","-0.9","6.7"
"Chris Jefferies","2002","LAL","27","27","Fresno State","2","72","861","281","88","29",".383",".365",".667","12.0","3.9","1.2","0.4","-0.5","-.030","-5.5","-0.8"
"Dan Dickau","2002","SAC","28","28","Gonzaga","6","300","4617","1745","405","752",".401",".341",".831","15.4","5.8","1.4","2.5","5.9",".061","-1.5","0.6"
"Steve Logan","2002","GSW","30","30","Cincinnati","","","","","","","","","","","","","","","","",""
"Roger Mason","2002","CHI","31","31","Virginia","10","518","9147","3289","897","677",".408",".383",".866","17.7","6.3","1.7","1.3","13.0",".068","-1.4","1.4"
"Robert Archibald","2002","MEM","32","32","Illinois","2","44","328","51","69","16",".283","",".429","7.5","1.2","1.6","0.4","0.0","-.004","-6.1","-0.3"
"Vincent Yarbrough","2002","DEN","33","33","Tennessee","1","59","1381","406","162","130",".393",".269",".790","23.4","6.9","2.7","2.2","1.0",".035","-2.4","-0.1"
"Dan Gadzuric","2002","MIL","34","34","UCLA","10","527","7793","2465","2326","196",".500",".000",".498","14.8","4.7","4.4","0.4","15.8",".097","-2.3","-0.7"
"Carlos Boozer","2002","CLE","35","35","Duke","13","861","26901","13976","8192","1928",".521",".071",".722","31.2","16.2","9.5","2.2","80.3",".143","1.4","23.1"
"Milos Vujanic","2002","NYK","36","36","","","","","","","","","","","","","","","","","",""
"David Andersen","2002","ATL","37","37","","2","103","1264","501","292","57",".440",".347",".674","12.3","4.9","2.8","0.6","1.5",".059","-2.9","-0.3"
"Tito Maddox","2002","HOU","38","38","Fresno State","1","9","35","11","7","5",".250",".000",".625","3.9","1.2","0.8","0.6","0.0","-.011","-1.4","0.0"
"Rod Grizzard","2002","WAS","39","39","Alabama","","","","","","","","","","","","","","","","",""
"Juan Carlos Navarro","2002","WAS","40","40","","1","82","2117","896","210","177",".402",".361",".849","25.8","10.9","2.6","2.2","1.4",".031","-2.3","-0.2"
"Mario Kasun","2002","LAC","41","41","","2","73","569","198","188","11",".467",".000",".636","7.8","2.7","2.6","0.2","0.8",".069","-7.0","-0.7"
"Ronald Murray","2002","MIL","42","42","Shaw","8","487","11077","4817","1006","1096",".414",".304",".725","22.7","9.9","2.1","2.3","8.5",".037","-2.2","-0.5"
"Jason Jennings","2002","POR","43","43","Arkansas State University","","","","","","","","","","","","","","","","",""
"Lonny Baxter","2002","CHI","44","44","Maryland","4","162","1884","637","477","40",".466",".200",".657","11.6","3.9","2.9","0.2","2.9",".075","-4.6","-1.2"
"Sam Clancy","2002","PHI","45","45","USC","","","","","","","","","","","","","","","","",""
"Matt Barnes","2002","MEM","46","46","UCLA","14","929","21967","7589","4281","1691",".436",".335",".745","23.6","8.2","4.6","1.8","42.8",".093","-0.1","10.7"
"Jamal Sampson","2002","UTA","47","47","California","5","72","631","142","242","26",".491",".000",".537","8.8","2.0","3.4","0.4","1.4",".106","-2.3","-0.1"
"Chris Owens","2002","MIL","48","48","Texas","1","1","6","4","1","0",".667","","","6.0","4.0","1.0","0.0","0.0","-.032","-0.5","0.0"
"Peter Fehse","2002","SEA","49","49","","","","","","","","","","","","","","","","","",""
"Darius Songaila","2002","BOS","50","50","Wake Forest","8","495","9229","3415","1689","589",".499",".158",".844","18.6","6.9","3.4","1.2","15.9",".083","-2.1","-0.2"
"Federico Kammerichs","2002","POR","51","51","","","","","","","","","","","","","","","","","",""
"Marcus Taylor","2002","MIN","52","52","Michigan State","","","","","","","","","","","","","","","","",""
"Rasual Butler","2002","MIA","53","53","La Salle","13","809","17219","6092","1934","658",".403",".362",".747","21.3","7.5","2.4","0.8","20.8",".058","-1.4","2.6"
"Tamar Slay","2002","NJN","54","54","Marshall","3","66","517","173","70","31",".361",".265",".538","7.8","2.6","1.1","0.5","-0.3","-.029","-5.7","-0.5"
"Mladen Sekularac","2002","DAL","55","55","","","","","","","","","","","","","","","","","",""
"Luis Scola","2002","SAS","56","56","","10","743","19001","8882","4941","1194",".493",".339",".740","25.6","12.0","6.7","1.6","45.7",".115","-0.7","6.4"
"Randy Holcomb","2002","SAS","57","57","San Diego State","1","4","11","2","1","0","1.000","","","2.8","0.5","0.3","0.0","0.0",".150","-1.7","0.0"
"Corsley Edwards","2002","SAC","58","58","Central Connecticut State University","1","10","110","27","25","3",".323","",".583","11.0","2.7","2.5","0.3","0.1",".026","-6.2","-0.1"
"LeBron James","2003","CLE","1","1","","17","1265","48551","34241","9405","9346",".504",".344",".734","38.4","27.1","7.4","7.4","236.4",".234","8.9","133.7"
"Darko Miličić","2003","DET","2","2","","10","468","8638","2813","1971","405",".460",".000",".574","18.5","6.0","4.2","0.9","7.1",".040","-2.4","-0.9"
"Carmelo Anthony","2003","DEN","3","3","Syracuse","17","1122","40031","26446","7306","3250",".448",".349",".812","35.7","23.6","6.5","2.9","102.3",".123","1.5","35.6"
"Chris Bosh","2003","TOR","4","4","Georgia Tech","13","893","31936","17189","7592","1795",".494",".335",".799","35.8","19.2","8.5","2.0","106.0",".159","1.9","31.1"
"Dwyane Wade","2003","MIA","5","5","Marquette","16","1054","35773","23165","4933","5701",".480",".293",".765","33.9","22.0","4.7","5.4","120.7",".162","5.0","62.8"
"Chris Kaman","2003","LAC","6","6","Central Michigan University","13","735","19642","8208","5582","921",".489",".042",".743","26.7","11.2","7.6","1.3","24.6",".060","-1.9","0.4"
"Kirk Hinrich","2003","CHI","7","7","Kansas","13","879","27015","9594","2576","4245",".411",".375",".800","30.7","10.9","2.9","4.8","52.5",".093","0.0","13.3"
"T.J. Ford","2003","MIL","8","8","Texas","8","429","11882","4797","1331","2495",".433",".289",".815","27.7","11.2","3.1","5.8","16.9",".068","-0.4","4.6"
"Mike Sweetney","2003","NYK","9","9","Georgetown","4","233","3610","1516","1045","145",".485",".000",".689","15.5","6.5","4.5","0.6","7.8",".103","-2.7","-0.6"
"Jarvis Hayes","2003","WAS","10","10","Georgia","7","427","9898","3553","1330","459",".415",".356",".798","23.2","8.3","3.1","1.1","10.2",".049","-2.5","-1.3"
"Mickaël Piétrus","2003","GSW","11","11","","10","557","11950","4629","1723","445",".425",".355",".665","21.5","8.3","3.1","0.8","19.7",".079","-0.9","3.2"
"Nick Collison","2003","SEA","12","12","Kansas","14","910","18603","5359","4701","939",".534",".208",".723","20.4","5.9","5.2","1.0","44.5",".115","-1.3","3.1"
"Marcus Banks","2003","MEM","13","13","UNLV","8","348","5571","2061","519","728",".432",".327",".768","16.0","5.9","1.5","2.1","6.6",".057","-2.0","-0.1"
"Luke Ridnour","2003","SEA","14","14","Oregon","12","830","21623","7740","1877","3713",".431",".349",".862","26.1","9.3","2.3","4.5","36.0",".080","-0.6","7.5"
"Reece Gaines","2003","ORL","15","15","Louisville","3","71","605","123","53","50",".324",".269",".606","8.5","1.7","0.7","0.7","-0.6","-.049","-6.1","-0.6"
"Troy Bell","2003","BOS","16","16","Boston College","1","6","34","11","4","4",".222",".000","1.000","5.7","1.8","0.7","0.7","-0.2","-.326","-19.6","-0.2"
"Žarko Čabarkapa","2003","PHO","17","17","","3","150","1550","640","312","85",".427",".273",".733","10.3","4.3","2.1","0.6","1.1",".035","-3.9","-0.7"
"David West","2003","NOH","18","18","Xavier","15","1034","29144","14034","6590","2273",".495",".265",".817","28.2","13.6","6.4","2.2","85.9",".141","1.7","27.6"
"Sasha Pavlović","2003","UTA","19","19","","10","567","8888","2787","1000","517",".404",".346",".673","15.7","4.9","1.8","0.9","7.0",".038","-3.4","-3.1"
"Dahntay Jones","2003","BOS","20","20","Duke","13","624","9799","3353","1082","529",".439",".329",".751","15.7","5.4","1.7","0.8","9.9",".048","-3.7","-4.1"
"Boris Diaw","2003","ATL","21","21","","14","1064","28768","9139","4634","3684",".493",".336",".717","27.0","8.6","4.4","3.5","51.6",".086","0.1","15.5"
"Zoran Planinić","2003","NJN","22","22","","3","148","1584","561","198","165",".405",".289",".677","10.7","3.8","1.3","1.1","1.5",".046","-3.5","-0.6"
"Travis Outlaw","2003","POR","23","23","","11","622","13026","5273","1974","514",".423",".337",".744","20.9","8.5","3.2","0.8","16.5",".061","-1.4","2.1"
"Brian Cook","2003","LAL","24","24","Illinois","9","421","5649","2312","1115","252",".439",".382",".783","13.4","5.5","2.6","0.6","10.2",".086","-1.6","0.5"
"Carlos Delfino","2003","DET","25","25","","8","507","11580","4115","1815","887",".401",".365",".758","22.8","8.1","3.6","1.7","22.5",".093","0.5","7.2"
"Ndudi Ebi","2003","MIN","26","26","","2","19","86","40","19","4",".486",".000",".462","4.5","2.1","1.0","0.2","0.1",".051","-3.8","0.0"
"Kendrick Perkins","2003","MEM","27","27","","14","782","17162","4214","4532","813",".530",".000",".594","21.9","5.4","5.8","1.0","27.9",".078","-1.9","0.6"
"Leandro Barbosa","2003","SAS","28","28","","14","850","18386","9035","1720","1775",".459",".387",".821","21.6","10.6","2.0","2.1","37.4",".098","-0.2","8.6"
"Josh Howard","2003","DAL","29","29","Wake Forest","10","507","15350","7270","2886","817",".448",".332",".770","30.3","14.3","5.7","1.6","38.0",".119","0.6","10.0"
"Maciej Lampe","2003","NYK","30","30","","3","64","632","215","142","22",".407",".250",".676","9.9","3.4","2.2","0.3","-0.2","-.014","-7.0","-0.8"
"Jason Kapono","2003","CLE","31","31","UCLA","9","509","9068","3398","844","417",".442",".434",".835","17.8","6.7","1.7","0.8","10.3",".055","-2.6","-1.3"
"Luke Walton","2003","LAL","32","32","Arizona","10","564","9685","2649","1588","1317",".429",".326",".715","17.2","4.7","2.8","2.3","13.5",".067","-1.0","2.5"
"Jerome Beasley","2003","MIA","33","33","University of North Dakota","1","2","5","2","1","0",".333","","","2.5","1.0","0.5","0.0","0.0","-.117","-5.2","0.0"
"Sofoklis Schortsanitis","2003","LAC","34","34","","","","","","","","","","","","","","","","","",""
"Szymon Szewczyk","2003","MIL","35","35","","","","","","","","","","","","","","","","","",""
"Mario Austin","2003","CHI","36","36","Mississippi State","","","","","","","","","","","","","","","","",""
"Travis Hansen","2003","ATL","37","37","BYU","1","41","507","123","70","19",".354",".300",".815","12.4","3.0","1.7","0.5","0.2",".019","-6.2","-0.5"
"Steve Blake","2003","WAS","38","38","Maryland","13","870","20823","5662","1816","3446",".401",".383",".779","23.9","6.5","2.1","4.0","29.1",".067","-1.2","4.2"
"Slavko Vraneš","2003","NYK","39","39","","1","1","3","0","0","0",".000","","","3.0","0.0","0.0","0.0","0.0","-.371","-26.2","0.0"
"Derrick Zimmerman","2003","GSW","40","40","Mississippi State","1","2","32","4","4","7",".667","","","16.0","2.0","2.0","3.5","0.0",".004","-10.4","-0.1"
"Willie Green","2003","SEA","41","41","Detroit Mercy","12","731","14783","6059","1303","1018",".425",".346",".765","20.2","8.3","1.8","1.4","12.9",".042","-2.7","-2.7"
"Zaza Pachulia","2003","ORL","42","42","","16","1098","22240","7414","6315","1433",".469",".000",".751","20.3","6.8","5.8","1.3","52.7",".114","-1.5","2.9"
"Keith Bogans","2003","MIL","43","43","Kentucky","11","671","14527","4257","1817","866",".394",".353",".716","21.6","6.3","2.7","1.3","20.4",".068","-1.5","1.9"
"Malick Badiane","2003","HOU","44","44","","","","","","","","","","","","","","","","","",""
"Matt Bonner","2003","CHI","45","45","Florida","12","792","13356","4632","2371","552",".464",".414",".780","16.9","5.8","3.0","0.7","38.5",".138","1.0","10.1"
"Sani Bečirovič","2003","DEN","46","46","","","","","","","","","","","","","","","","","",""
"Mo Williams","2003","UTA","47","47","Alabama","13","818","23872","10759","2264","3990",".434",".378",".871","29.2","13.2","2.8","4.9","40.0",".080","-0.3","10.0"
"James Lang","2003","NOH","48","48","","1","11","55","11","11","2",".444","",".600","5.0","1.0","1.0","0.2","0.1",".047","-6.4","-0.1"
"James Jones","2003","IND","49","49","Miami (FL)","14","709","11098","3717","1276","366",".401",".401",".840","15.7","5.2","1.8","0.5","25.2",".109","-0.1","5.4"
"Paccelis Morlende","2003","PHI","50","50","","","","","","","","","","","","","","","","","",""
"Kyle Korver","2003","NJN","51","51","Creighton","17","1232","31183","11953","3643","2114",".442",".429",".877","25.3","9.7","3.0","1.7","73.4",".113","0.6","20.7"
"Remon Van de Hare","2003","TOR","52","52","","","","","","","","","","","","","","","","","",""
"Tommy Smith","2003","CHI","53","53","Arizona State","","","","","","","","","","","","","","","","",""
"Nedžad Sinanović","2003","POR","54","54","","","","","","","","","","","","","","","","","",""
"Rick Rickert","2003","MIN","55","55","Minnesota","","","","","","","","","","","","","","","","",""
"Brandon Hunter","2003","BOS","56","56","Ohio University","2","67","630","220","187","22",".476",".000",".488","9.4","3.3","2.8","0.3","0.7",".055","-3.7","-0.3"
"Xue Yuyang","2003","DAL","57","57","","","","","","","","","","","","","","","","","",""
"Andreas Glyniadakis","2003","DET","58","58","","1","13","81","17","8","1",".471","",".500","6.2","1.3","0.6","0.1","-0.2","-.143","-14.0","-0.2"
"Dwight Howard","2004","ORL","1","1","","16","1113","37290","18631","13691","1580",".586",".132",".565","33.5","16.7","12.3","1.4","134.2",".173","2.1","38.4"
"Emeka Okafor","2004","CHA","2","2","UConn","10","616","19055","7370","5967","520",".512",".000",".586","30.9","12.0","9.7","0.8","45.3",".114","-0.6","6.8"
"Ben Gordon","2004","CHI","3","3","UConn","11","744","20366","11084","1851","1868",".432",".401",".857","27.4","14.9","2.5","2.5","33.3",".078","-0.3","8.7"
"Shaun Livingston","2004","LAC","4","4","","14","833","17188","5231","1989","2483",".486",".178",".794","20.6","6.3","2.4","3.0","29.9",".084","-1.0","4.3"
"Devin Harris","2004","WAS","5","5","Wisconsin","15","985","23963","10597","2151","3869",".432",".325",".796","24.3","10.8","2.2","3.9","54.9",".110","0.6","15.5"
"Josh Childress","2004","ATL","6","6","Stanford","8","391","10432","3548","1850","609",".522",".329",".779","26.7","9.1","4.7","1.6","25.7",".118","0.8","7.4"
"Luol Deng","2004","PHO","7","7","Duke","15","902","30941","13361","5468","2042",".456",".332",".769","34.3","14.8","6.1","2.3","74.0",".115","0.9","22.9"
"Rafael Araújo","2004","TOR","8","8","BYU","3","139","1585","389","395","41",".405",".250",".679","11.4","2.8","2.8","0.3","-0.4","-.013","-7.2","-2.1"
"Andre Iguodala","2004","PHI","9","9","Arizona","16","1129","37452","13552","5709","4872",".465",".333",".709","33.2","12.0","5.1","4.3","97.0",".124","2.2","40.1"
"Luke Jackson","2004","CLE","10","10","Oregon","4","73","724","252","89","58",".357",".360",".732","9.9","3.5","1.2","0.8","0.2",".010","-3.7","-0.3"
"Andris Biedriņš","2004","GSW","11","11","","10","516","11146","3247","3631","467",".594",".000",".500","21.6","6.3","7.0","0.9","30.7",".132","-0.4","4.6"
"Robert Swift","2004","SEA","12","12","","4","97","1500","416","376","20",".506","",".610","15.5","4.3","3.9","0.2","1.7",".054","-3.8","-0.7"
"Sebastian Telfair","2004","POR","13","13","","10","564","12149","4183","898","1960",".390",".319",".777","21.5","7.4","1.6","3.5","5.0",".020","-3.4","-4.2"
"Kris Humphries","2004","UTA","14","14","Minnesota","13","800","14232","5350","4314","556",".463",".293",".700","17.8","6.7","5.4","0.7","30.3",".102","-1.7","1.2"
"Al Jefferson","2004","BOS","15","15","","14","915","26299","14343","7690","1347",".499",".121",".711","28.7","15.7","8.4","1.5","71.0",".130","1.2","21.3"
"Kirk Snyder","2004","UTA","16","16","Nevada","4","211","3540","1333","491","241",".438",".327",".699","16.8","6.3","2.3","1.1","4.5",".061","-1.2","0.7"
"Josh Smith","2004","ATL","17","17","","13","894","29000","12996","6653","2789",".452",".285",".632","32.4","14.5","7.4","3.1","51.0",".084","1.7","27.2"
"J.R. Smith","2004","NOH","18","18","","16","977","26275","12148","3073","2077",".419",".373",".733","26.9","12.4","3.1","2.1","46.3",".084","0.2","14.7"
"Dorell Wright","2004","MIA","19","19","","11","549","12280","4597","2093","850",".424",".365",".806","22.4","8.4","3.8","1.5","25.9",".101","0.9","9.1"
"Jameer Nelson","2004","DEN","20","20","Saint Joseph's","14","878","24539","9940","2595","4508",".436",".368",".810","27.9","11.3","3.0","5.1","48.3",".094","-0.1","11.6"
"Pavel Podkolzin","2004","UTA","21","21","","2","6","28","4","9","0",".000","",".500","4.7","0.7","1.5","0.0","-0.1","-.163","-15.0","-0.1"
"Viktor Khryapa","2004","NJN","22","22","","4","143","2351","643","492","142",".443",".292",".658","16.4","4.5","3.4","1.0","2.0",".041","-3.5","-0.9"
"Sergei Monia","2004","POR","23","23","","1","26","343","77","52","19",".333",".265",".714","13.2","3.0","2.0","0.7","-0.2","-.025","-5.3","-0.3"
"Delonte West","2004","BOS","24","24","Saint Joseph's","8","432","11842","4198","1265","1540",".448",".372",".826","27.4","9.7","2.9","3.6","24.5",".099","0.9","8.7"
"Tony Allen","2004","BOS","25","25","Oklahoma State","14","820","18055","6654","2884","1077",".475",".282",".709","22.0","8.1","3.5","1.3","38.7",".103","0.3","10.4"
"Kevin Martin","2004","SAC","26","26","Western Carolina University","12","714","21559","12396","2278","1352",".437",".384",".870","30.2","17.4","3.2","1.9","61.3",".137","1.0","16.1"
"Sasha Vujačić","2004","LAL","27","27","","10","581","8908","3094","1093","748",".390",".367",".858","15.3","5.3","1.9","1.3","16.0",".086","-1.0","2.3"
"Beno Udrih","2004","SAS","28","28","","13","831","18185","6952","1712","2858",".463",".349",".833","21.9","8.4","2.1","3.4","31.4",".083","-0.9","4.9"
"David Harrison","2004","IND","29","29","Colorado","4","189","2686","949","549","47",".530","",".525","14.2","5.0","2.9","0.2","3.2",".057","-4.4","-1.7"
"Anderson Varejão","2004","ORL","30","30","","13","627","15051","4561","4511","734",".510",".024",".631","24.0","7.3","7.2","1.2","46.4",".148","0.3","8.9"
"Jackson Vroman","2004","CHI","31","31","Iowa State","2","87","1111","285","261","51",".408",".000",".580","12.8","3.3","3.0","0.6","0.0",".001","-5.1","-0.9"
"Peter John Ramos","2004","WAS","32","32","","1","6","20","11","4","0",".500","",".500","3.3","1.8","0.7","0.0","0.0","-.108","-10.0","0.0"
"Lionel Chalmers","2004","LAC","33","33","Xavier","1","36","433","111","31","51",".336",".245",".625","12.0","3.1","0.9","1.4","-0.2","-.025","-5.3","-0.4"
"Donta Smith","2004","ATL","34","34","Southeastern Illinois College","2","61","560","165","66","48",".421",".308",".650","9.2","2.7","1.1","0.8","0.5",".043","-3.2","-0.2"
"Andre Emmett","2004","SEA","35","35","Texas Tech","2","14","73","20","8","1",".462",".000",".615","5.2","1.4","0.6","0.1","0.1",".040","-5.5","-0.1"
"Antonio Burks","2004","ORL","36","36","Memphis","2","81","789","186","49","104",".387",".235",".571","9.7","2.3","0.6","1.3","0.1",".004","-5.0","-0.6"
"Royal Ivey","2004","ATL","37","37","Texas","10","492","6162","1641","557","501",".406",".361",".706","12.5","3.3","1.1","1.0","4.5",".035","-3.8","-2.7"
"Chris Duhon","2004","CHI","38","38","Duke","9","606","15526","3946","1364","2690",".393",".363",".784","25.6","6.5","2.3","4.4","25.0",".077","-1.2","3.2"
"Albert Miralles","2004","TOR","39","39","","","","","","","","","","","","","","","","","",""
"Justin Reed","2004","BOS","40","40","Ole Miss","3","136","1436","472","186","68",".404",".000",".752","10.6","3.5","1.4","0.5","0.5",".016","-5.9","-1.4"
"David Young","2004","SEA","41","41","NC Central","","","","","","","","","","","","","","","","",""
"Viktor Sanikidze","2004","ATL","42","42","","","","","","","","","","","","","","","","","",""
"Trevor Ariza","2004","NYK","43","43","UCLA","16","1064","31650","11215","5130","2297",".423",".352",".732","29.7","10.5","4.8","2.2","62.5",".095","0.7","21.8"
"Tim Pickett","2004","NOH","44","44","Florida State","","","","","","","","","","","","","","","","",""
"Bernard Robinson","2004","CHA","45","45","Michigan","3","128","1909","576","315","126",".417",".161",".786","14.9","4.5","2.5","1.0","2.0",".049","-2.1","0.0"
"Ha Seung-Jin","2004","POR","46","46","","2","46","316","70","67","3",".519","",".500","6.9","1.5","1.5","0.1","-0.2","-.029","-8.8","-0.5"
"Pape Sow","2004","MIA","47","47","Cal State Fullerton","3","76","879","219","214","12",".416","",".678","11.6","2.9","2.8","0.2","0.8",".044","-5.7","-0.8"
"Ricky Minard","2004","SAC","48","48","Morehead State University","","","","","","","","","","","","","","","","",""
"Sergei Lishouk","2004","MEM","49","49","","","","","","","","","","","","","","","","","",""
"Vassilis Spanoulis","2004","DAL","50","50","","1","31","272","85","22","28",".319",".172",".810","8.8","2.7","0.7","0.9","-0.1","-.010","-5.9","-0.3"
"Christian Drejer","2004","NJN","51","51","Florida","","","","","","","","","","","","","","","","",""
"Romain Sato","2004","SAS","52","52","Xavier","","","","","","","","","","","","","","","","",""
"Matt Freije","2004","MIA","53","53","Vanderbilt","2","42","588","133","85","27",".293",".224",".714","14.0","3.2","2.0","0.6","-0.6","-.047","-6.0","-0.6"
"Rickey Paulding","2004","DET","54","54","Missouri","","","","","","","","","","","","","","","","",""
"Luis Flores","2004","HOU","55","55","Manhattan College","1","16","77","35","3","11",".483",".500","1.000","4.8","2.2","0.2","0.7","0.0","-.020","-4.8","0.0"
"Marcus Douthit","2004","LAL","56","56","Providence","","","","","","","","","","","","","","","","",""
"Sergei Karaulov","2004","SAS","57","57","","","","","","","","","","","","","","","","","",""
"Blake Stepp","2004","MIN","58","58","Gonzaga","","","","","","","","","","","","","","","","",""
"Rashad Wright","2004","IND","59","59","Georgia","","","","","","","","","","","","","","","","",""
"Andrew Bogut","2005","MIL","1","1","Utah","14","706","19862","6808","6112","1546",".535",".120",".557","28.1","9.6","8.7","2.2","50.6",".122","1.2","16.0"
"Marvin Williams","2005","ATL","2","2","UNC","15","1072","30159","10965","5546","1373",".443",".361",".808","28.1","10.2","5.2","1.3","65.1",".104","-0.4","12.3"
"Deron Williams","2005","UTA","3","3","Illinois","12","845","28865","13804","2619","6819",".445",".357",".822","34.2","16.3","3.1","8.1","77.3",".129","1.9","28.3"
"Chris Paul","2005","NOH","4","4","Wake Forest","15","1020","35558","18829","4611","9653",".471",".370",".870","34.9","18.5","4.5","9.5","180.3",".243","7.6","86.0"
"Raymond Felton","2005","CHA","5","5","UNC","14","971","28829","10853","2867","5096",".412",".329",".790","29.7","11.2","3.0","5.2","40.2",".067","-0.6","10.1"
"Martell Webster","2005","POR","6","6","","10","580","13914","5056","1811","588",".418",".382",".791","24.0","8.7","3.1","1.0","24.7",".085","-0.8","4.3"
"Charlie Villanueva","2005","TOR","7","7","UConn","11","656","13578","6808","3019","549",".435",".341",".772","20.7","10.4","4.6","0.8","22.6",".080","-0.6","4.7"
"Channing Frye","2005","NYK","8","8","Arizona","13","890","19772","7786","4002","864",".440",".388",".822","22.2","8.7","4.5","1.0","38.9",".094","-0.4","8.0"
"Ike Diogu","2005","GSW","9","9","Arizona State","6","225","2795","1348","689","69",".509",".500",".786","12.4","6.0","3.1","0.3","6.5",".112","-3.0","-0.7"
"Andrew Bynum","2005","LAL","10","10","","8","418","10690","4822","3221","490",".556",".111",".690","25.6","11.5","7.7","1.2","37.4",".168","1.4","9.1"
"Fran Vázquez","2005","ORL","11","11","","","","","","","","","","","","","","","","","",""
"Yaroslav Korolev","2005","LAC","12","12","","2","34","168","39","16","13",".283",".250",".625","4.9","1.1","0.5","0.4","-0.1","-.024","-5.2","-0.1"
"Sean May","2005","CHA","13","13","UNC","4","119","1868","821","481","115",".458",".231",".746","15.7","6.9","4.0","1.0","2.6",".068","-1.7","0.2"
"Rashad McCants","2005","MIN","14","14","UNC","4","249","5037","2479","506","331",".431",".368",".741","20.2","10.0","2.0","1.3","3.6",".035","-1.7","0.4"
"Antoine Wright","2005","NJN","15","15","Texas A&M","6","297","5714","1614","681","295",".412",".304",".674","19.2","5.4","2.3","1.0","3.1",".026","-3.7","-2.4"
"Joey Graham","2005","TOR","16","16","Oklahoma State","6","377","6117","2239","1058","207",".483",".300",".815","16.2","5.9","2.8","0.5","7.8",".061","-3.6","-2.4"
"Danny Granger","2005","IND","17","17","New Mexico","10","586","18487","9855","2888","1097",".434",".380",".848","31.5","16.8","4.9","1.9","48.5",".126","1.8","17.7"
"Gerald Green","2005","BOS","18","18","","12","658","13026","6412","1639","596",".417",".361",".818","19.8","9.7","2.5","0.9","18.4",".068","-1.3","2.4"
"Hakim Warrick","2005","MEM","19","19","Syracuse","8","526","10624","4947","2117","400",".490",".191",".726","20.2","9.4","4.0","0.8","20.4",".092","-1.9","0.4"
"Julius Hodge","2005","DEN","20","20","NC State","2","23","98","28","15","18",".440","",".500","4.3","1.2","0.7","0.8","0.0",".003","-3.7","0.0"
"Nate Robinson","2005","PHO","21","21","Washington","11","618","13878","6807","1446","1826",".423",".360",".796","22.5","11.0","2.3","3.0","27.8",".096","0.5","8.6"
